FechaCorte,Tipo de Sujeto,Nombre Completo,DUI,NIT,Fecha de Nacimiento,Sexo,Tipo de obligación,Moneda,Numero de Obligacion,Fecha de Otorgamiento,Fecha de Vencimiento,Periodo de Pago,Estado,Sub-estado,Numero Dias Mora,Valor Limite,Valor Saldo Total,Valor Mora Total,Valor Cuota,Tipo de Deudor,Tipo de Garantia,Fecha de Cancelacion,Calificacion
2024-08-31,J,Hnos Sarabia S.L.L.,,1884-478096-248-8,,,TIC,USD,OBL-00001,2024-01-04,,OTR,VIG,VIG,0,9446,4895,0,147,DIR,FID,,A1
2024-08-31,F,Elías Sans Molins,63092114-5,,1996-04-16,M,MIC,USD,OBL-00002,2023-09-10,2026-09-10,QIN,VIG,VIG,0,16190,12262,0,93,DIR,SGR,,A1
2024-08-31,F,Daniel Jove-Infante,47228121-5,,1995-04-04,M,TDC,USD,OBL-00003,2023-09-17,,MEN,VIG,VIG,0,19928,12533,0,134,DIR,HIP,,A1
2024-08-31,F,Montserrat Rivas Múgica,89346343-9,,1982-07-20,M,CON,USD,OBL-00004,2024-04-30,2027-04-30,MEN,VIG,VIG,0,11411,4799,0,63,DIR,HIP,,A1
2024-08-31,F,Inocencio Marti Portero,23415908-6,,1965-11-11,M,TDC,USD,OBL-00005,2024-03-16,,QIN,VIG,VIG,0,16224,15845,0,154,DIR,FID,,A2
2024-08-31,F,Plinio Leopoldo Cordero Medina,40835537-2,,2000-04-28,M,TDC,USD,OBL-00006,2024-03-21,,VEN,VIG,VIG,0,1688,854,0,57,DIR,FID,,A1
2024-08-31,F,Apolonia Reguera Valderrama,86943028-2,,1970-02-21,F,TDC,USD,OBL-00007,2024-05-27,,MEN,VIG,VIG,0,2619,2457,0,171,DIR,SGR,,A2
2024-08-31,F,Saturnino Oliva,78102805-6,,1998-03-13,M,MIC,USD,OBL-00008,2024-04-10,2026-04-10,QIN,VIG,VIG,0,4042,1797,0,182,DIR,HIP,,A1
2024-08-31,F,Maristela Cuéllar,32800794-1,,1988-06-04,F,MIC,USD,OBL-00009,2024-04-03,2026-04-03,VEN,VIG,VIG,0,12240,2258,0,92,DIR,FID,,A1
2024-08-31,F,Renata Fabra Tormo,68319683-1,,1966-07-13,F,CMZ,USD,OBL-00010,2023-10-24,2028-10-24,OTR,VIG,VIG,0,13328,10791,0,184,DIR,AVA,,A2
2024-08-31,F,Angelina Cardona Jover,11023881-0,,1965-10-10,F,CMZ,USD,OBL-00011,2024-01-30,2026-01-30,QIN,VIG,VIG,0,2745,2406,0,43,DIR,FID,,A2
